team,name,age,senior_career,youth_career
Denmark,Kasper Schmeichel,34,2005–2009,2000–2001
Denmark,Jonas Lössl,32,2008–2014,1996–2004
Denmark,Frederik Rønnow,28,2010–2015,nan
Denmark,Jens Stryger Larsen,30,2009–2013,nan
Denmark,Simon Kjær,32,2007–2008,nan
Denmark,Andreas Christensen,25,2013–,2000–2004
Denmark,Daniel Wass,32,2007–2011,1995–2006
Denmark,Mathias Jørgensen,31,2007–2012,1994–2007
Denmark,Joakim Mæhle,24,2016–2017,0000–2009
Denmark,Jannik Vestergaard,28,2010–2011,nan
Denmark,Nicolai Boilesen,29,2011–2016,nan
Denmark,Mathias Jensen,25,2015–2018,nan
Denmark,Christian Nørgaard,27,2011–2012,nan
Denmark,Pierre-Emile Højbjerg,25,2012–2014,2003–2007
Denmark,Thomas Delaney,29,2008–2016,1993–2008
Denmark,Anders Christiansen,31,2008–2012,
Denmark,Christian Eriksen,29,2010–2013,1995–2005
Denmark,Mikkel Damsgaard,20,2017–2020,2005–2013
Denmark,Robert Skov,25,2012–2018,nan
Denmark,Martin Braithwaite,30,2009–2013,nan
Denmark,Andreas Cornelius,28,2012–2013,nan
Denmark,Andreas Skov Olsen,21,2017–2019,nan
Denmark,Yussuf Poulsen,27,2011–2013,nan
Denmark,Kasper Dolberg,23,2014–2015,2005–2010
Denmark,Jonas Wind,22,2018–,2007–2010
