team,name,age,senior_career,youth_career
England,Aaron Ramsdale,23,2016–2017,nan
England,Sam Johnstone,28,2011–2018,0000–2011
England,Jordan Pickford,27,2011–2017,2002–2011
England,Ben Chilwell,24,2015–2020,0000–2009
England,Conor Coady,28,2011–2014,2005–2011
England,Reece James,21,2018–,0000–2018
England,Harry Maguire,28,2011–2014,0000–2011
England,Tyrone Mings,28,2011–2012,2001–2009
England,Luke Shaw,25,2011–2014,2002–2011
England,John Stones,27,2011–2013,2001–2011
England,Kieran Trippier,30,2009–2012,1999–2009
England,Kyle Walker,31,2008–2009,1997–2008
England,Ben White,23,2016–,0000–2014
England,Jude Bellingham,18,2019–2020,2010–2019
England,Phil Foden,21,2016–,2009–2016
England,Jack Grealish,25,2012–,2001
England,Jordan Henderson,31,2008–2011,1998–2008
England,Mason Mount,22,2017–,2005–2017
England,Kalvin Phillips,25,2014–,2003–2010
England,Declan Rice,22,2015–,2006–2014
England,Bukayo Saka,19,2018–,0000–2018
England,Jadon Sancho,21,2017,2007–2015
England,Dominic Calvert-Lewin,24,2014–2016,2005–2014
England,Harry Kane,27,2010–,1999–2001
England,Marcus Rashford,23,2015–,2003–2005
England,Raheem Sterling,26,2012–2015,1999–2003
