team,name,age,senior_career,youth_career
Spain,David de Gea,30,2008–2009,2003–2008
Spain,Unai Simón,24,2014–2016,nan
Spain,Robert Sánchez,23,2018–,nan
Spain,José Gayà,26,2012–2014,2006–2012
Spain,Jordi Alba,32,2006–2007,1996–1998
Spain,Pau Torres,24,2016,2002–2016
Spain,Aymeric Laporte,27,2011–2012,2000–2009
Spain,Diego Llorente,27,2012–2013,2000–2001
Spain,César Azpilicueta,31,2006–2007,2001–2006
Spain,Marcos Llorente,26,2014–2016,2002–2006
Spain,Thiago Alcântara,30,2008–2011,1995–1996
Spain,Sergio Busquets,32,2007–2008,1995–1996
Spain,Koke,29,2008–2011,2000–2008
Spain,Dani Olmo,23,2015–2017,2006–2007
Spain,Rodri,25,2015–2016,2006–2007
Spain,Fabián Ruiz,25,2014–2016,nan
Spain,Pedri,18,2019–2020,nan
Spain,Pablo Sarabia,29,2009–2011,2000–2004
Spain,Adama Traoré,25,2013–2015,nan
Spain,Álvaro Morata,28,2010–2013,2005–2007
Spain,Gerard Moreno,29,2010–2011,2000–2001
Spain,Mikel Oyarzabal,24,2014–2015,nan
