team,name,age,senior_career,youth_career,had_youth_career
Denmark,Kasper Schmeichel,34,2005–2009,2000–2001,True
Denmark,Jonas Lössl,32,2008–2014,1996–2004,True
Denmark,Frederik Rønnow,28,2010–2015,nan,True
Denmark,Jens Stryger Larsen,30,2009–2013,2002–2004,True
Denmark,Simon Kjær,32,2007–2008,nan,True
Denmark,Andreas Christensen,25,2013–,2000–2004,True
Denmark,Daniel Wass,32,2007–2011,1995–2006,True
Denmark,Mathias Jørgensen,31,2007–2012,1994–2007,True
Denmark,Joakim Mæhle,24,2016–2017,0000–2009,True
Denmark,Jannik Vestergaard,28,2010–2011,nan,True
Denmark,Nicolai Boilesen,29,2011–2016,–2004,True
Denmark,Mathias Jensen,25,2015–2018,nan,True
Denmark,Christian Nørgaard,27,2011–2012,0000–2008,True
Denmark,Pierre-Emile Højbjerg,25,2012–2014,2003–2007,True
Denmark,Thomas Delaney,29,2008–2016,1993–2008,True
Denmark,Anders Christiansen,31,2008–2012,,False
Denmark,Christian Eriksen,29,2010–2013,1995–2005,True
Denmark,Mikkel Damsgaard,20,2017–2020,2005–2013,True
Denmark,Robert Skov,25,2012–2018,nan,True
Denmark,Martin Braithwaite,30,2009–2013,2003–2007,True
Denmark,Andreas Cornelius,28,2012–2013,nan,True
Denmark,Andreas Skov Olsen,21,2017–2019,2012–2018,True
Denmark,Yussuf Poulsen,27,2011–2013,0000–2011,True
Denmark,Kasper Dolberg,23,2014–2015,2005–2010,True
Denmark,Jonas Wind,22,2018–,2007–2010,True
