team,name,age,senior_career,youth_career,had_youth_career
England,Aaron Ramsdale,23,2016–2017,2013–2016,True
England,Sam Johnstone,28,2011–2018,0000–2011,True
England,Jordan Pickford,27,2011–2017,2002–2011,True
England,Ben Chilwell,24,2015–2020,0000–2009,True
England,Conor Coady,28,2011–2014,2005–2011,True
England,Reece James,21,2018–,0000–2018,True
England,Harry Maguire,28,2011–2014,0000–2011,True
England,Tyrone Mings,28,2011–2012,2001–2009,True
England,Luke Shaw,25,2011–2014,2002–2011,True
England,John Stones,27,2011–2013,2001–2011,True
England,Kieran Trippier,30,2009–2012,1999–2009,True
England,Kyle Walker,31,2008–2009,1997–2008,True
England,Ben White,23,2016–,0000–2014,True
England,Jude Bellingham,18,2019–2020,2010–2019,True
England,Phil Foden,21,2016–,2009–2016,True
England,Jack Grealish,25,2012–,2001,True
England,Jordan Henderson,31,2008–2011,1998–2008,True
England,Mason Mount,22,2017–,2005–2017,True
England,Kalvin Phillips,25,2014–,2003–2010,True
England,Declan Rice,22,2015–,2006–2014,True
England,Bukayo Saka,19,2018–,0000–2018,True
England,Dominic Calvert-Lewin,24,2014–2016,2005–2014,True
England,Harry Kane,27,2009–,1999–2001,True
England,Marcus Rashford,23,2015–,2003–2005,True
England,Raheem Sterling,26,2012–2015,1999–2003,True
