team,name,age,senior_career,youth_career,had_youth_career
Italy,Gianluigi Donnarumma,22,2015–2021,2003–2013,True
Italy,Salvatore Sirigu,34,2006–2011,2002–2005,True
Italy,Alex Meret,24,2015–2018,2007–2012,True
Italy,Francesco Acerbi,33,2006–2010,nan,True
Italy,Alessandro Bastoni,22,2016–2017,2006–2016,True
Italy,Leonardo Bonucci,34,2005–2006,2004–2005,True
Italy,Giorgio Chiellini,36,2000–2002,1990–2000,True
Italy,Giovanni Di Lorenzo,27,2010–2015,2004–2009,True
Italy,Alessandro Florenzi,30,2011–,1995–2000,True
Italy,Leonardo Spinazzola,28,2012–2019,1999–2007,True
Italy,Emerson Palmieri,26,2011–2015,2009–2011,True
Italy,Nicolò Barella,24,2015–2020,2006–2015,True
Italy,Bryan Cristante,26,2011–2014,2006–2009,True
Italy,Jorginho,29,2010–2014,2007–2010,True
Italy,Manuel Locatelli,23,2016–2019,2007–2009,True
Italy,Gaetano Castrovilli,24,2015–2017,2006–2008,True
Italy,Matteo Pessina,24,2014–2015,2002–2007,True
Italy,Marco Verratti,28,2008–2012,2000–2001,True
Italy,Andrea Belotti,27,2012–2013,2003–2006,True
Italy,Domenico Berardi,26,2012–,2008–2010,True
Italy,Federico Bernardeschi,27,2013–2017,2000–2001,True
Italy,Federico Chiesa,23,2016–,2002–2007,True
Italy,Ciro Immobile,31,2009–2012,2002–2008,True
Italy,Giacomo Raspadori,21,2019–,2006–2009,True
