team,name,age,senior_career,youth_career,had_youth_career
Spain,David de Gea,30,2008–2009,2003–2008,True
Spain,Unai Simón,24,2014–2016,2011–2014,True
Spain,Robert Sánchez,23,2018–,2013–2018,True
Spain,José Gayà,26,2012–2014,2006–2012,True
Spain,Jordi Alba,32,2006–2007,1996–1998,True
Spain,Pau Torres,24,2016,2002–2016,True
Spain,Aymeric Laporte,27,2011–2012,2000–2009,True
Spain,Eric García,20,2018–2021,2008–2017,True
Spain,Diego Llorente,27,2012–2013,2000–2001,True
Spain,César Azpilicueta,31,2006–2007,2001–2006,True
Spain,Marcos Llorente,26,2014–2016,2002–2006,True
Spain,Thiago Alcântara,30,2008–2011,1995–1996,True
Spain,Sergio Busquets,32,2007–2008,1995–1996,True
Spain,Koke,29,2008–2011,2000–2008,True
Spain,Dani Olmo,23,2015–2017,2006–2007,True
Spain,Rodri,25,2015–2016,2006–2007,True
Spain,Fabián Ruiz,25,2014–2016,2004–2014,True
Spain,Pedri,18,2019–2020,2015–2018,True
Spain,Pablo Sarabia,29,2009–2011,2000–2004,True
Spain,Adama Traoré,25,2013–2015,2004–2013,True
Spain,Álvaro Morata,28,2010–2013,2005–2007,True
Spain,Gerard Moreno,29,2010–2011,2000–2001,True
Spain,Mikel Oyarzabal,24,2014–2015,2011–2015,True
