team,name,age,senior_career,youth_career,had_youth_career
Ukraine,Georgiy Bushchan,27,2011–,2007–2009,True
Ukraine,Andriy Pyatov,37,2000–2001,1998–2000,True
Ukraine,Oleksandr Karavaev,29,2009–2017,2005,True
Ukraine,Serhiy Kryvtsov,30,2007–2008,2004–2007,True
Ukraine,Mykola Matviyenko,25,2015–,2009–2015,True
Ukraine,Vitaliy Mykolenko,22,2016–,2012–2016,True
Ukraine,Denys Popov,22,2017–,201?–2014,True
Ukraine,Eduard Sobol,26,2011,2008–2011,True
Ukraine,Oleksandr Tymchyk,24,2014–,2011–2013,True
Ukraine,Illia Zabarnyi,18,2019–,2015–2019,True
Ukraine,Oleksandr Zinchenko,24,2015–2016,2004–2008,True
Ukraine,Roman Bezus,30,2006–2008,2003–2004,True
Ukraine,Yevhen Makarenko,30,2008–2016,2004–2008,True
Ukraine,Ruslan Malinovskyi,28,2011–2017,2000–2005,True
Ukraine,Marlos,33,2006–2009,0000–2005,True
Ukraine,Mykola Shaparenko,22,2014–2015,2010–2011,True
Ukraine,Taras Stepanenko,31,2006,2001–2003,True
Ukraine,Heorhii Sudakov,18,2020–,2013–2014,True
Ukraine,Serhiy Sydorchuk,30,2008–2011,2004–2008,True
Ukraine,Viktor Tsygankov,23,2016–,2009–2010,True
Ukraine,Oleksandr Zubkov,24,2014–2020,2009–2011,True
Ukraine,Artem Besedin,25,2015–,nan,True
Ukraine,Artem Dovbyk,24,2014–2015,2010–2014,True
Ukraine,Roman Yaremchuk,25,2012–2017,2002–2007,True
