team,name,age,senior_career,youth_career
France,Hugo Lloris,34,2005–2006,1997–2005
France,Mike Maignan,25,2012–2015,2003–2009
France,Steve Mandanda,36,2005–2008,1994–2000
France,Lucas Digne,27,2010–2011,1999–2002
France,Léo Dubois,26,2012–2016,2000–2003
France,Lucas Hernandez,25,2014–2015,2005–2007
France,Presnel Kimpembe,25,2013–2016,2002–2005
France,Jules Koundé,22,2016–2017,2004–2009
France,Clément Lenglet,26,2012–2014,2001–2007
France,Benjamin Pavard,25,2014–2016,2002–2005
France,Raphaël Varane,28,2010–2011,2000–2002
France,Kurt Zouma,26,2011–2013,2003–2009
France,Golo Kanté,30,2012–2013,1999–2010
France,Thomas Lemar,25,2011–2015,2003–2010
France,Paul Pogba,28,2011–2012,1999–2006
France,Adrien Rabiot,26,2012–2014,2001–2003
France,Moussa Sissoko,31,2007–2013,1995–1999
France,Corentin Tolisso,26,2012–2014,2000–2004
France,Kingsley Coman,25,2013–2014,2002–2004
France,Wissam Ben Yedder,30,2009–2010,2000–2007
France,Karim Benzema,33,2004–2006,1995–1997
France,Ousmane Dembélé,24,2014–2015,2004–2009
France,Olivier Giroud,34,2005–2008,1992–1999
France,Antoine Griezmann,30,2009–2014,1997–1999
France,Kylian Mbappé,22,2015–2016,2004–2013
France,Marcus Thuram,23,2014–2017,2007–2010
Switzerland,Yann Sommer,32,2005–2007,1996–1997
Switzerland,Yvon Mvogo,27,2011–2017,0000–2012
Switzerland,Jonas Omlin,27,2012–2014,
Switzerland,Manuel Akanji,25,2014–2015,2004–2007
Switzerland,Loris Benito,29,2009–2012,2000–2009
Switzerland,Eray Cömert,23,2016–,2006–2009
Switzerland,Nico Elvedi,24,2013–2015,2005–2006
Switzerland,Jordan Lotomba,22,2016–2017,2005–2008
Switzerland,Kevin Mbabu,26,2012–2013,0000–2012
Switzerland,Becir Omeragic,19,2018–,0000–2017
Switzerland,Fabian Schär,29,2009–2012,1999–2009
Switzerland,Silvan Widmer,28,2010–2011,2001–2007
Switzerland,Christian Fassnacht,27,2014,
Switzerland,Edimilson Fernandes,25,2013–2016,2007–2013
Switzerland,Remo Freuler,29,2009–2010,2001–2005
Switzerland,Admir Mehmedi,30,2008–2012,1999–2000
Switzerland,Xherdan Shaqiri,29,2007–2009,1999–2001
Switzerland,Djibril Sow,24,2014–2015,nan
Switzerland,Ruben Vargas,22,2017–2019,2007–2008
Switzerland,Granit Xhaka,28,2010–2012,2000–2002
Switzerland,Denis Zakaria,24,2014–2015,2004–2015
Switzerland,Steven Zuber,29,2008–2013,1997–1998
Switzerland,Breel Embolo,24,2014–2016,2006–2008
Switzerland,Mario Gavranović,31,2006–2008,1996–2000
Sweden,Karl-Johan Johnsson,31,2009–2012,nan
Sweden,Kristoffer Nordfeldt,32,2006–2011,2003–2005
Sweden,Robin Olsen,31,2007–2009,1997–2000
Sweden,Ludwig Augustinsson,27,2011–2012,1999–2011
Sweden,Marcus Danielson,32,2005,nan
Sweden,Andreas Granqvist,36,2004–2007,
Sweden,Filip Helander,28,2011–2015,nan
Sweden,Pontus Jansson,30,2009–2014,2004–2006
Sweden,Emil Krafth,26,2010,nan
Sweden,Mikael Lustig,34,2004–2005,nan
Sweden,Victor Lindelöf,26,2009–2012,nan
Sweden,Pierre Bengtsson,33,2006–2009,1993–2004
Sweden,Jens Cajuste,21,2016–2018,2006–2008
Sweden,Albin Ekdal,31,2007–2008,1996–2006
Sweden,Emil Forsberg,29,2009–2012,0000–2008
Sweden,Dejan Kulusevski,21,2018–2020,2006–2016
Sweden,Sebastian Larsson,36,2004–2007,0000–2001
Sweden,Kristoffer Olsson,25,2013–2014,nan
Sweden,Mattias Svanberg,22,2015–2018,0000–2007
Sweden,Gustav Svensson,34,2005–2010,1999–2000
Sweden,Marcus Berg,34,2005–2007,nan
Sweden,Viktor Claesson,29,2008–2011,nan
Sweden,Alexander Isak,21,2016–2017,2005–2016
Sweden,Jordan Larsson,24,2012–2014,2004–2006
Sweden,Robin Quaison,27,2011–2014,1997–2012
Sweden,Ken Sema,27,2013,0000–2013
Ukraine,Georgiy Bushchan,27,2011–,2007–2009
Ukraine,Andriy Pyatov,37,2000–2001,nan
Ukraine,Oleksandr Karavaev,29,2009–2017,2005
Ukraine,Serhiy Kryvtsov,30,2007–2008,2004–2007
Ukraine,Mykola Matviyenko,25,2015–,2009–2015
Ukraine,Vitaliy Mykolenko,22,2016–,2012–2016
Ukraine,Denys Popov,22,2017–,–2014
Ukraine,Eduard Sobol,26,2011,2008–2011
Ukraine,Oleksandr Tymchyk,24,2014–,2011–2013
Ukraine,Illia Zabarnyi,18,2019–,2015–2019
Ukraine,Oleksandr Zinchenko,24,2015–2016,2004–2008
Ukraine,Roman Bezus,30,2006–2008,2003–2004
Ukraine,Yevhen Makarenko,30,2008–2016,2004–2008
Ukraine,Ruslan Malinovskyi,28,2011–2017,2000–2005
Ukraine,Marlos,33,2006–2009,0000–2005
Ukraine,Mykola Shaparenko,22,2014–2015,2010–2011
Ukraine,Taras Stepanenko,31,2006,2001–2003
Ukraine,Heorhii Sudakov,18,2020–,2013–2014
Ukraine,Serhiy Sydorchuk,30,2008–2011,2004–2008
Ukraine,Viktor Tsygankov,23,2016–,2009–2010
Ukraine,Oleksandr Zubkov,24,2014–2020,2009–2011
Ukraine,Artem Besedin,25,2015–,nan
Ukraine,Artem Dovbyk,24,2014–2015,2010–2014
Ukraine,Roman Yaremchuk,25,2012–2017,2002–2007
