team,name,age,senior_career,youth_career
Czech Republic,Ales Mandous,29,2012–2015,1998–2002
Czech Republic,Jiri Pavlenka,29,2012–2016,nan
Czech Republic,Tomas Vaclik,32,2007–2010,2006–2007
Czech Republic,Jan Boril,30,2009–2016,
Czech Republic,Jakub Brabec,28,2008–2011,–2008
Czech Republic,Ondrej Celustka,32,2007–2009,1996–2007
Czech Republic, Vladimir Coufal,28,2010–2012,nan
Czech Republic,Pavel Kaderabek,29,2010–2015,
Czech Republic,Tomas Kalas,28,2009–2010,2004–2009
Czech Republic,Ales Mateju,25,2014–2015,nan
Czech Republic,David Zima,20,2019–2020,nan
Czech Republic,Tomas Holes,28,2012–2018,nan
Czech Republic,Antonin Barak,26,2013–2015,–2013
Czech Republic,Vladimir Darida,30,2010–2013,1995–2010
Czech Republic,Jakub Jankto,25,2015–2019,0000–2014
Czech Republic,Alex Kral,23,2017–2019,nan
Czech Republic,Lukas Masopust,28,2012–2015,2004–2012[1]
Czech Republic,Jakub Pesek,28,2014–2016,0000–2014
Czech Republic,Michal Sadilek,22,2016–2019,0000–2015
Czech Republic,Petr Sevcik,27,2014–2016,
Czech Republic,Tomas Soucek,26,2014–2020,2005–2014
Czech Republic,Adam Hlozek,18,2018–,nan
Czech Republic,Michael Krmencik,28,2011–2020,nan
Czech Republic,Tomas Pekhart,32,2008–2010,2001–2002
Czech Republic,Patrik Schick,25,2014–2016,2013–2014
Czech Republic,Matej Vydra,29,2008–2010,1997–2003
Denmark,Kasper Schmeichel,34,2005–2009,2000–2001
Denmark,Jonas Lössl,32,2008–2014,1996–2004
Denmark,Frederik Rønnow,28,2010–2015,nan
Denmark,Jens Stryger Larsen,30,2009–2013,nan
Denmark,Simon Kjær,32,2007–2008,nan
Denmark,Andreas Christensen,25,2013–,2000–2004
Denmark,Daniel Wass,32,2007–2011,1995–2006
Denmark,Mathias Jørgensen,31,2007–2012,1994–2007
Denmark,Joakim Mæhle,24,2016–2017,0000–2009
Denmark,Jannik Vestergaard,28,2010–2011,nan
Denmark,Nicolai Boilesen,29,2011–2016,nan
Denmark,Mathias Jensen,25,2015–2018,nan
Denmark,Christian Nørgaard,27,2011–2012,nan
Denmark,Pierre-Emile Højbjerg,25,2012–2014,2003–2007
Denmark,Thomas Delaney,29,2008–2016,1993–2008
Denmark,Anders Christiansen,31,2008–2012,
Denmark,Christian Eriksen,29,2010–2013,1995–2005
Denmark,Mikkel Damsgaard,20,2017–2020,2005–2013
Denmark,Robert Skov,25,2012–2018,nan
Denmark,Martin Braithwaite,30,2009–2013,nan
Denmark,Andreas Cornelius,28,2012–2013,nan
Denmark,Andreas Skov Olsen,21,2017–2019,nan
Denmark,Yussuf Poulsen,27,2011–2013,nan
Denmark,Kasper Dolberg,23,2014–2015,2005–2010
Denmark,Jonas Wind,22,2018–,2007–2010
England,Aaron Ramsdale,23,2016–2017,nan
England,Sam Johnstone,28,2011–2018,0000–2011
England,Jordan Pickford,27,2011–2017,2002–2011
England,Ben Chilwell,24,2015–2020,0000–2009
England,Conor Coady,28,2011–2014,2005–2011
England,Reece James,21,2018–,0000–2018
England,Harry Maguire,28,2011–2014,0000–2011
England,Tyrone Mings,28,2011–2012,2001–2009
England,Luke Shaw,25,2011–2014,2002–2011
England,John Stones,27,2011–2013,2001–2011
England,Kieran Trippier,30,2009–2012,1999–2009
England,Kyle Walker,31,2008–2009,1997–2008
England,Ben White,23,2016–,0000–2014
England,Jude Bellingham,18,2019–2020,2010–2019
England,Phil Foden,21,2016–,2009–2016
England,Jack Grealish,25,2012–,2001
England,Jordan Henderson,31,2008–2011,1998–2008
England,Mason Mount,22,2017–,2005–2017
England,Kalvin Phillips,25,2014–,2003–2010
England,Declan Rice,22,2015–,2006–2014
England,Bukayo Saka,19,2018–,0000–2018
England,Jadon Sancho,21,2017,2007–2015
England,Dominic Calvert-Lewin,24,2014–2016,2005–2014
England,Harry Kane,27,2010–,1999–2001
England,Marcus Rashford,23,2015–,2003–2005
England,Raheem Sterling,26,2012–2015,1999–2003
Spain,David de Gea,30,2008–2009,2003–2008
Spain,Unai Simón,24,2014–2016,nan
Spain,Robert Sánchez,23,2018–,nan
Spain,José Gayà,26,2012–2014,2006–2012
Spain,Jordi Alba,32,2006–2007,1996–1998
Spain,Pau Torres,24,2016,2002–2016
Spain,Aymeric Laporte,27,2011–2012,2000–2009
Spain,Diego Llorente,27,2012–2013,2000–2001
Spain,César Azpilicueta,31,2006–2007,2001–2006
Spain,Marcos Llorente,26,2014–2016,2002–2006
Spain,Thiago Alcântara,30,2008–2011,1995–1996
Spain,Sergio Busquets,32,2007–2008,1995–1996
Spain,Koke,29,2008–2011,2000–2008
Spain,Dani Olmo,23,2015–2017,2006–2007
Spain,Rodri,25,2015–2016,2006–2007
Spain,Fabián Ruiz,25,2014–2016,nan
Spain,Pedri,18,2019–2020,nan
Spain,Pablo Sarabia,29,2009–2011,2000–2004
Spain,Adama Traoré,25,2013–2015,nan
Spain,Álvaro Morata,28,2010–2013,2005–2007
Spain,Gerard Moreno,29,2010–2011,2000–2001
Spain,Mikel Oyarzabal,24,2014–2015,nan
Switzerland,Yann Sommer,32,2005–2007,1996–1997
Switzerland,Yvon Mvogo,27,2011–2017,0000–2012
Switzerland,Jonas Omlin,27,2012–2014,
Switzerland,Manuel Akanji,25,2014–2015,2004–2007
Switzerland,Loris Benito,29,2009–2012,2000–2009
Switzerland,Eray Cömert,23,2016–,2006–2009
Switzerland,Nico Elvedi,24,2013–2015,2005–2006
Switzerland,Jordan Lotomba,22,2016–2017,2005–2008
Switzerland,Kevin Mbabu,26,2012–2013,0000–2012
Switzerland,Becir Omeragic,19,2018–,0000–2017
Switzerland,Fabian Schär,29,2009–2012,1999–2009
Switzerland,Silvan Widmer,28,2010–2011,2001–2007
Switzerland,Christian Fassnacht,27,2014,
Switzerland,Edimilson Fernandes,25,2013–2016,2007–2013
Switzerland,Remo Freuler,29,2009–2010,2001–2005
Switzerland,Admir Mehmedi,30,2008–2012,1999–2000
Switzerland,Xherdan Shaqiri,29,2007–2009,1999–2001
Switzerland,Djibril Sow,24,2014–2015,nan
Switzerland,Ruben Vargas,22,2017–2019,2007–2008
Switzerland,Granit Xhaka,28,2010–2012,2000–2002
Switzerland,Denis Zakaria,24,2014–2015,2004–2015
Switzerland,Steven Zuber,29,2008–2013,1997–1998
Switzerland,Breel Embolo,24,2014–2016,2006–2008
Switzerland,Mario Gavranović,31,2006–2008,1996–2000
Ukraine,Georgiy Bushchan,27,2011–,2007–2009
Ukraine,Andriy Pyatov,37,2000–2001,nan
Ukraine,Oleksandr Karavaev,29,2009–2017,2005
Ukraine,Serhiy Kryvtsov,30,2007–2008,2004–2007
Ukraine,Mykola Matviyenko,25,2015–,2009–2015
Ukraine,Vitaliy Mykolenko,22,2016–,2012–2016
Ukraine,Denys Popov,22,2017–,–2014
Ukraine,Eduard Sobol,26,2011,2008–2011
Ukraine,Oleksandr Tymchyk,24,2014–,2011–2013
Ukraine,Illia Zabarnyi,18,2019–,2015–2019
Ukraine,Oleksandr Zinchenko,24,2015–2016,2004–2008
Ukraine,Roman Bezus,30,2006–2008,2003–2004
Ukraine,Yevhen Makarenko,30,2008–2016,2004–2008
Ukraine,Ruslan Malinovskyi,28,2011–2017,2000–2005
Ukraine,Marlos,33,2006–2009,0000–2005
Ukraine,Mykola Shaparenko,22,2014–2015,2010–2011
Ukraine,Taras Stepanenko,31,2006,2001–2003
Ukraine,Heorhii Sudakov,18,2020–,2013–2014
Ukraine,Serhiy Sydorchuk,30,2008–2011,2004–2008
Ukraine,Viktor Tsygankov,23,2016–,2009–2010
Ukraine,Oleksandr Zubkov,24,2014–2020,2009–2011
Ukraine,Artem Besedin,25,2015–,nan
Ukraine,Artem Dovbyk,24,2014–2015,2010–2014
Ukraine,Roman Yaremchuk,25,2012–2017,2002–2007
